严重性	代码	说明	项目	文件	行	抑制状态	详细信息
错误	C2614	“rbac::RBACData”: 非法的成员初始化:“_grantedPerms”不是基或成员	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	857		
错误	C2011	“rbac::RBACCommandResult”:“enum”类型重定义	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	805		
错误	C2011	“rbac::RBACCommandResult”:“enum”类型重定义	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	805		
错误	C2888	“std::set<uint32,std::less<uint32>,std::allocator<TaxiMask::value_type>>”: 不能在命名空间“rbac”内定义符号	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	815		
错误	C2888	“std::set<uint32,std::less<uint32>,std::allocator<TaxiMask::value_type>>”: 不能在命名空间“rbac”内定义符号	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	815		
错误	C2146	语法错误: 缺少“;”(在标识符“RBACPermissionContainer”的前面)	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	815		
错误	C2146	语法错误: 缺少“;”(在标识符“RBACPermissionContainer”的前面)	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	815		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	815		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	815		
错误	C2143	语法错误: 缺少“;”(在“const”的前面)	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	829		
错误	C2143	语法错误: 缺少“;”(在“const”的前面)	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	829		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	829		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	829		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	829		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	829		
错误	C3646	“_perms”: 未知重写说明符	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	838		
错误	C3646	“_perms”: 未知重写说明符	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	838		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	838		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	838		
错误	C2614	“rbac::RBACPermission”: 非法的成员初始化:“_perms”不是基或成员	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	821		
错误	C2614	“rbac::RBACPermission”: 非法的成员初始化:“_perms”不是基或成员	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	821		
错误	C2065	“_perms”: 未声明的标识符	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	829		
错误	C2065	“_perms”: 未声明的标识符	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	829		
错误	C2065	“_perms”: 未声明的标识符	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	831		
错误	C2065	“_perms”: 未声明的标识符	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	831		
错误	C2065	“_perms”: 未声明的标识符	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	833		
错误	C2065	“_perms”: 未声明的标识符	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	833		
错误	C2143	语法错误: 缺少“;”(在“const”的前面)	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	887		
错误	C2143	语法错误: 缺少“;”(在“const”的前面)	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	887		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	887		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	887		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	887		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	887		
错误	C2143	语法错误: 缺少“;”(在“const”的前面)	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	889		
错误	C2143	语法错误: 缺少“;”(在“const”的前面)	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	889		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	889		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	889		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	889		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	889		
错误	C2143	语法错误: 缺少“;”(在“const”的前面)	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	891		
错误	C2143	语法错误: 缺少“;”(在“const”的前面)	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	891		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	891		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	891		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	891		
错误	C4430	缺少类型说明符 - 假定为 int。注意: C++ 不支持默认 int	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	891		
错误	C2061	语法错误: 标识符“RBACPermissionContainer”	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	1039		
错误	C2061	语法错误: 标识符“RBACPermissionContainer”	game	D:\TrinityCore\src\server\game\Accounts\RBAC.h	1039		
